Name	UploadTime	FinishTime	Diff			
stonehenge5863.jpeg:	1488098969000	1488100618000	1649000			
stonehenge5847.jpeg:	1488098969000	1488100634000	1665000			
stonehenge5902.jpeg:	1488098969000	1488100579000	1610000			
stonehenge5874.jpeg:	1488098969000	1488100619000	1650000			
stonehenge5858.jpeg:	1488098969000	1488100624000	1655000			
stonehenge5913.jpeg:	1488098969000	1488100568000	1599000			
stonehenge5828.jpeg:	1488098967000	1488100653000	1686000			
stonehenge5817.jpeg:	1488098967000	1488100664000	1697000			
stonehenge5830.jpeg:	1488098967000	1488100651000	1684000			
stonehenge5814.jpeg:	1488098967000	1488100667000	1700000			
stonehenge5833.jpeg:	1488098967000	1488100648000	1681000			
stonehenge5791.jpeg:	1488098967000	1488100690000	1723000			
stonehenge5834.jpeg:	1488098967000	1488100648000	1681000			
stonehenge5909.jpeg:	1488098969000	1488100573000	1604000			
stonehenge5903.jpeg:	1488098969000	1488100578000	1609000			
stonehenge5790.jpeg:	1488098967000	1488100691000	1724000			
stonehenge5887.jpeg:	1488098969000	1488100594000	1625000			
stonehenge5818.jpeg:	1488098967000	1488100663000	1696000			
stonehenge5787.jpeg:	1488098965000	1488100694000	1729000			
stonehenge5850.jpeg:	1488098969000	1488100631000	1662000			
stonehenge5843.jpeg:	1488098969000	1488100638000	1669000			
stonehenge5882.jpeg:	1488098969000	1488100599000	1630000			
stonehenge5918.jpeg:	1488098969000	1488100564000	1595000			
stonehenge5888.jpeg:	1488098969000	1488100593000	1624000			
stonehenge5849.jpeg:	1488098969000	1488100632000	1663000			
stonehenge5912.jpeg:	1488098969000	1488100569000	1600000			
stonehenge5781.jpeg:	1488098965000	1488100700000	1735000			
stonehenge5881.jpeg:	1488098969000	1488100600000	1631000			
stonehenge5812.jpeg:	1488098967000	1488100669000	1702000			
stonehenge5865.jpeg:	1488098969000	1488100616000	1647000			
stonehenge5796.jpeg:	1488098967000	1488100685000	1718000			
stonehenge5894.jpeg:	1488098969000	1488100587000	1618000			
stonehenge5827.jpeg:	1488098967000	1488100654000	1687000			
stonehenge5824.jpeg:	1488098967000	1488100657000	1690000			
stonehenge5897.jpeg:	1488098969000	1488100584000	1615000			
stonehenge5808.jpeg:	1488098967000	1488100673000	1706000			
stonehenge5821.jpeg:	1488098967000	1488100660000	1693000			
stonehenge5802.jpeg:	1488098967000	1488100680000	1713000			
stonehenge5805.jpeg:	1488098967000	1488100676000	1709000			
stonehenge5922.jpeg:	1488098964000	1488100559000	1595000			
stonehenge5928.jpeg:	1488098965000	1488100553000	1588000			
stonehenge5856.jpeg:	1488098969000	1488100625000	1656000			
stonehenge5859.jpeg:	1488098969000	1488100623000	1654000			
stonehenge5872.jpeg:	1488098969000	1488100609000	1640000			
stonehenge5878.jpeg:	1488098969000	1488100603000	1634000			
stonehenge5925.jpeg:	1488098965000	1488100556000	1591000			
stonehenge5875.jpeg:	1488098969000	1488100606000	1637000			
stonehenge5891.jpeg:	1488098969000	1488100590000	1621000			
						
Mittelwert:	1657					
Longest:	1735					
						
			1586000		Diff	149000
			1735000			
