Name	UploadTime	FinishTime	Diff
stonehenge3060.jpeg:	1485685699000	1485687311000	1612000
stonehenge3038.jpeg:	1485685699000	1485686397000	698000
stonehenge3071.jpeg:	1485685699000	1485645006000	-40693000
stonehenge3035.jpeg:	1485685699000	1485686386000	687000
stonehenge3063.jpeg:	1485685699000	1485644982000	-40717000
stonehenge3046.jpeg:	1485685699000	1485687271000	1572000
stonehenge3052.jpeg:	1485685699000	1485687287000	1588000
stonehenge3041.jpeg:	1485685699000	1485686408000	709000
stonehenge3057.jpeg:	1485685699000	1485687300000	1601000
stonehenge3049.jpeg:	1485685699000	1485687279000	1580000
stonehenge3054.jpeg:	1485685699000	1485687293000	1594000
stonehenge3044.jpeg:	1485685699000	1485686417000	718000
stonehenge3039.jpeg:	1485685699000	1485686400000	701000
stonehenge3043.jpeg:	1485685699000	1485686414000	715000
stonehenge3047.jpeg:	1485685699000	1485687274000	1575000
stonehenge3051.jpeg:	1485685699000	1485687284000	1585000
stonehenge3055.jpeg:	1485685699000	1485687295000	1596000
stonehenge3040.jpeg:	1485685699000	1485686405000	706000
stonehenge3058.jpeg:	1485685699000	1485687304000	1605000
stonehenge3032.jpeg:	1485685699000	1485686374000	675000
stonehenge3066.jpeg:	1485685698000	1485644991000	-40707000
stonehenge3069.jpeg:	1485685698000	1485644999000	-40699000
stonehenge3074.jpeg:	1485685699000	1485645016000	-40683000
stonehenge3059.jpeg:	1485685699000	1485687308000	1609000
stonehenge3056.jpeg:	1485685699000	1485687298000	1599000
stonehenge3042.jpeg:	1485685699000	1485686412000	713000
stonehenge3031.jpeg:	1485685699000	1485686372000	673000
stonehenge3067.jpeg:	1485685698000	1485644994000	-40704000
stonehenge3073.jpeg:	1485685699000	1485645013000	-40686000
stonehenge3036.jpeg:	1485685699000	1485686390000	691000
stonehenge3062.jpeg:	1485685699000	1485644979000	-40720000
stonehenge3070.jpeg:	1485685699000	1485645003000	-40696000
stonehenge3065.jpeg:	1485685699000	1485644988000	-40711000
stonehenge3033.jpeg:	1485685699000	1485686379000	680000
stonehenge3068.jpeg:	1485685698000	1485644996000	-40702000
stonehenge3072.jpeg:	1485685699000	1485645009000	-40690000
stonehenge3075.jpeg:	1485685699000	1485645020000	-40679000
stonehenge3034.jpeg:	1485685699000	1485686382000	683000
stonehenge3064.jpeg:	1485685699000	1485644986000	-40713000
stonehenge3048.jpeg:	1485685699000	1485687276000	1577000
stonehenge3050.jpeg:	1485685699000	1485687282000	1583000
stonehenge3061.jpeg:	1485685699000	1485644975000	-40724000
stonehenge3037.jpeg:	1485685699000	1485686393000	694000
stonehenge3045.jpeg:	1485685699000	1485686420000	721000
stonehenge3053.jpeg:	1485685699000	1485687289000	1590000

Mittelwert:	-12804
Longest:	1612

