Name	UploadTime	FinishTime	Diff
stonehenge4.jpeg:	1485621843000	1485621997000	154000
stonehenge13.jpeg:	1485621842000	1485622023000	181000
stonehenge7.jpeg:	1485621843000	1485622005000	162000
stonehenge5.jpeg:	1485621843000	1485621999000	156000
stonehenge11.jpeg:	1485621842000	1485622016000	174000
stonehenge14.jpeg:	1485621842000	1485622027000	185000
stonehenge8.jpeg:	1485621843000	1485622008000	165000
stonehenge2.jpeg:	1485621842000	1485621991000	149000
stonehenge15.jpeg:	1485621842000	1485622030000	188000
stonehenge9.jpeg:	1485621843000	1485622011000	168000
stonehenge12.jpeg:	1485621842000	1485622019000	177000
stonehenge6.jpeg:	1485621843000	1485622002000	159000
stonehenge3.jpeg:	1485621842000	1485621994000	152000
stonehenge.jpeg:	1485621842000	1485622033000	191000
stonehenge10.jpeg:	1485621842000	1485622014000	172000

Mittelwert:	168
Longest:	191

