Name	UploadTime	FinishTime	Diff
stonehenge5101.jpeg:	1486222360000	1486222416000	56000
stonehenge5115.jpeg:	1486222360000	1486222461000	101000
stonehenge5107.jpeg:	1486222360000	1486222430000	70000
stonehenge5140.jpeg:	1486222358000	1486222367000	9000
stonehenge5132.jpeg:	1486222360000	1486222542000	182000
stonehenge5123.jpeg:	1486222360000	1486222500000	140000
stonehenge5129.jpeg:	1486222360000	1486222528000	168000
stonehenge5131.jpeg:	1486222360000	1486222537000	177000
stonehenge5124.jpeg:	1486222360000	1486222506000	146000
stonehenge5116.jpeg:	1486222360000	1486222465000	105000
stonehenge5138.jpeg:	1486222358000	1486222362000	4000
stonehenge5093.jpeg:	1486222360000	1486222395000	35000
stonehenge5099.jpeg:	1486222360000	1486222412000	52000
stonehenge5146.jpeg:	1486222360000	1486222580000	220000
stonehenge5092.jpeg:	1486222360000	1486222393000	33000
stonehenge5105.jpeg:	1486222360000	1486222424000	64000
stonehenge5108.jpeg:	1486222360000	1486222434000	74000
stonehenge5098.jpeg:	1486222360000	1486222410000	50000
stonehenge5102.jpeg:	1486222360000	1486222418000	58000
stonehenge5095.jpeg:	1486222360000	1486222403000	43000
stonehenge5150.jpeg:	1486222360000	1486222604000	244000
stonehenge5142.jpeg:	1486222358000	1486222374000	16000
stonehenge5110.jpeg:	1486222360000	1486222438000	78000
stonehenge5137.jpeg:	1486222360000	1486222559000	199000
stonehenge5145.jpeg:	1486222360000	1486222572000	212000
stonehenge5148.jpeg:	1486222360000	1486222598000	238000
stonehenge5143.jpeg:	1486222360000	1486222565000	205000
stonehenge5104.jpeg:	1486222360000	1486222422000	62000
stonehenge5112.jpeg:	1486222360000	1486222446000	86000
stonehenge5149.jpeg:	1486222360000	1486222601000	241000
stonehenge5121.jpeg:	1486222360000	1486222491000	131000
stonehenge5118.jpeg:	1486222360000	1486222477000	117000
stonehenge5126.jpeg:	1486222360000	1486222515000	155000
stonehenge5134.jpeg:	1486222360000	1486222550000	190000
stonehenge5113.jpeg:	1486222360000	1486222451000	91000
stonehenge5127.jpeg:	1486222360000	1486222517000	157000
stonehenge5119.jpeg:	1486222360000	1486222480000	120000
stonehenge5120.jpeg:	1486222360000	1486222486000	126000
stonehenge5096.jpeg:	1486222360000	1486222405000	45000
stonehenge5135.jpeg:	1486222360000	1486222553000	193000
stonehenge5122.jpeg:	1486222360000	1486222496000	136000
stonehenge5139.jpeg:	1486222358000	1486222365000	7000
stonehenge5125.jpeg:	1486222360000	1486222510000	150000
stonehenge5111.jpeg:	1486222360000	1486222443000	83000
stonehenge5128.jpeg:	1486222360000	1486222521000	161000
stonehenge5136.jpeg:	1486222360000	1486222558000	198000
stonehenge5147.jpeg:	1486222360000	1486222593000	233000
stonehenge5100.jpeg:	1486222360000	1486222414000	54000
stonehenge5097.jpeg:	1486222360000	1486222408000	48000
stonehenge5094.jpeg:	1486222360000	1486222401000	41000
stonehenge5109.jpeg:	1486222360000	1486222436000	76000
stonehenge5103.jpeg:	1486222360000	1486222420000	60000
stonehenge5144.jpeg:	1486222360000	1486222569000	209000
stonehenge5117.jpeg:	1486222360000	1486222473000	113000
stonehenge5141.jpeg:	1486222358000	1486222370000	12000
stonehenge5133.jpeg:	1486222360000	1486222546000	186000
stonehenge5106.jpeg:	1486222360000	1486222427000	67000
stonehenge5114.jpeg:	1486222360000	1486222457000	97000
stonehenge5130.jpeg:	1486222360000	1486222530000	170000
stonehenge5091.jpeg:	1486222360000	1486222390000	30000

Mittelwert:	113
Longest:	244

