Name	UploadTime	FinishTime	Diff
stonehenge5004.jpeg:	1486220990000	1486221015000	25000
stonehenge5007.jpeg:	1486220990000	1486221028000	38000
stonehenge5011.jpeg:	1486220989000	1486220994000	5000
stonehenge5015.jpeg:	1486220989000	1486221005000	16000
stonehenge5002.jpeg:	1486220990000	1486221010000	20000
stonehenge5005.jpeg:	1486220990000	1486221019000	29000
stonehenge5010.jpeg:	1486220990000	1486221041000	51000
stonehenge5013.jpeg:	1486220989000	1486220999000	10000
stonehenge5008.jpeg:	1486220990000	1486221032000	42000
stonehenge.jpeg:	1486220990000	1486221008000	18000
stonehenge5012.jpeg:	1486220989000	1486220997000	8000
stonehenge5003.jpeg:	1486220990000	1486221012000	22000
stonehenge5014.jpeg:	1486220989000	1486221002000	13000
stonehenge5009.jpeg:	1486220990000	1486221037000	47000
stonehenge5006.jpeg:	1486220990000	1486221023000	33000

Mittelwert:	25
Longest:	51

