Name	UploadTime	FinishTime	Diff
stonehenge2374.jpeg:	1485617240000	1485617311000	71000
stonehenge2335.jpeg:	1485617303000	1485617399000	96000
stonehenge2304.jpeg:	1485617248000	1485617324000	76000
stonehenge2349.jpeg:	1485617325000	1485617432000	107000
stonehenge2360.jpeg:	1485617343000	1485617454000	111000
stonehenge2357.jpeg:	1485617337000	1485617447000	110000
stonehenge2343.jpeg:	1485617314000	1485617416000	102000
stonehenge2327.jpeg:	1485617288000	1485617379000	91000
stonehenge2351.jpeg:	1485617329000	1485617436000	107000
stonehenge2344.jpeg:	1485617315000	1485617419000	104000
stonehenge2305.jpeg:	1485617249000	1485617326000	77000
stonehenge2319.jpeg:	1485617272000	1485617358000	86000
stonehenge2352.jpeg:	1485617331000	1485617438000	107000
stonehenge2336.jpeg:	1485617304000	1485617402000	98000
stonehenge2366.jpeg:	1485617355000	1485617468000	113000
stonehenge2321.jpeg:	1485617275000	1485617362000	87000
stonehenge2313.jpeg:	1485617262000	1485617346000	84000
stonehenge2358.jpeg:	1485617339000	1485617450000	111000
stonehenge2311.jpeg:	1485617259000	1485617340000	81000
stonehenge2314.jpeg:	1485617264000	1485617348000	84000
stonehenge2317.jpeg:	1485617269000	1485617354000	85000
stonehenge2303.jpeg:	1485617247000	1485617321000	74000
stonehenge2328.jpeg:	1485617290000	1485617381000	91000
stonehenge2370.jpeg:	1485617232000	1485617300000	68000
stonehenge2306.jpeg:	1485617251000	1485617329000	78000
stonehenge2309.jpeg:	1485617255000	1485617336000	81000
stonehenge2333.jpeg:	1485617300000	1485617393000	93000
stonehenge2325.jpeg:	1485617283000	1485617375000	92000
stonehenge2330.jpeg:	1485617293000	1485617386000	93000
stonehenge2322.jpeg:	1485617277000	1485617366000	89000
stonehenge2362.jpeg:	1485617346000	1485617459000	113000
stonehenge2365.jpeg:	1485617353000	1485617466000	113000
stonehenge2368.jpeg:	1485617358000	1485617472000	114000
stonehenge2373.jpeg:	1485617237000	1485617309000	72000
stonehenge2307.jpeg:	1485617252000	1485617330000	78000
stonehenge2324.jpeg:	1485617282000	1485617373000	91000
stonehenge2332.jpeg:	1485617298000	1485617391000	93000
stonehenge2340.jpeg:	1485617309000	1485617411000	102000
stonehenge2346.jpeg:	1485617319000	1485617424000	105000
stonehenge2354.jpeg:	1485617333000	1485617442000	109000
stonehenge2301.jpeg:	1485617243000	1485617317000	74000
stonehenge2338.jpeg:	1485617306000	1485617407000	101000
stonehenge2302.jpeg:	1485617245000	1485617319000	74000
stonehenge2347.jpeg:	1485617321000	1485617426000	105000
stonehenge2341.jpeg:	1485617311000	1485617413000	102000
stonehenge2316.jpeg:	1485617268000	1485617352000	84000
stonehenge2308.jpeg:	1485617253000	1485617333000	80000
stonehenge2339.jpeg:	1485617308000	1485617409000	101000
stonehenge2369.jpeg:	1485617359000	1485617474000	115000
stonehenge2310.jpeg:	1485617256000	1485617338000	82000
stonehenge2355.jpeg:	1485617335000	1485617444000	109000
stonehenge2363.jpeg:	1485617349000	1485617462000	113000
stonehenge2371.jpeg:	1485617233000	1485617303000	70000
stonehenge2353.jpeg:	1485617332000	1485617440000	108000
stonehenge2356.jpeg:	1485617336000	1485617446000	110000
stonehenge2364.jpeg:	1485617351000	1485617464000	113000
stonehenge2348.jpeg:	1485617323000	1485617429000	106000
stonehenge2367.jpeg:	1485617356000	1485617470000	114000
stonehenge2359.jpeg:	1485617342000	1485617451000	109000
stonehenge2375.jpeg:	1485617241000	1485617314000	73000
stonehenge2323.jpeg:	1485617279000	1485617369000	90000
stonehenge2329.jpeg:	1485617292000	1485617383000	91000
stonehenge2337.jpeg:	1485617305000	1485617404000	99000
stonehenge2372.jpeg:	1485617235000	1485617306000	71000
stonehenge2312.jpeg:	1485617260000	1485617344000	84000
stonehenge2320.jpeg:	1485617274000	1485617360000	86000
stonehenge2318.jpeg:	1485617271000	1485617356000	85000
stonehenge2361.jpeg:	1485617344000	1485617457000	113000
stonehenge2315.jpeg:	1485617266000	1485617350000	84000
stonehenge2345.jpeg:	1485617317000	1485617421000	104000
stonehenge2331.jpeg:	1485617295000	1485617389000	94000
stonehenge2350.jpeg:	1485617327000	1485617434000	107000
stonehenge2326.jpeg:	1485617285000	1485617377000	92000
stonehenge2334.jpeg:	1485617301000	1485617397000	96000
stonehenge2342.jpeg:	1485617312000	1485617415000	103000

Mittelwert:	94
Longest:	115

