Name	UploadTime	FinishTime	Diff
stonehenge2163.jpeg:	1485617081000	1485617096000	15000
stonehenge2160.jpeg:	1485617071000	1485617087000	16000
stonehenge2166.jpeg:	1485617087000	1485617104000	17000
stonehenge2169.jpeg:	1485617092000	1485617111000	19000
stonehenge2152.jpeg:	1485617056000	1485617068000	12000
stonehenge2132.jpeg:	1485617107000	1485617130000	23000
stonehenge2146.jpeg:	1485617045000	1485617054000	9000
stonehenge2149.jpeg:	1485617050000	1485617061000	11000
stonehenge2143.jpeg:	1485617036000	1485617046000	10000
stonehenge2135.jpeg:	1485617112000	1485617136000	24000
stonehenge2138.jpeg:	1485617117000	1485617143000	26000
stonehenge2151.jpeg:	1485617053000	1485617066000	13000
stonehenge2133.jpeg:	1485617109000	1485617132000	23000
stonehenge2144.jpeg:	1485617038000	1485617047000	9000
stonehenge2140.jpeg:	1485617120000	1485617150000	30000
stonehenge2136.jpeg:	1485617114000	1485617139000	25000
stonehenge2158.jpeg:	1485617068000	1485617083000	15000
stonehenge2155.jpeg:	1485617062000	1485617075000	13000
stonehenge2174.jpeg:	1485617101000	1485617122000	21000
stonehenge2139.jpeg:	1485617119000	1485617147000	28000
stonehenge2147.jpeg:	1485617047000	1485617056000	9000
stonehenge2171.jpeg:	1485617096000	1485617115000	19000
stonehenge2142.jpeg:	1485617035000	1485617044000	9000
stonehenge2145.jpeg:	1485617040000	1485617050000	10000
stonehenge2148.jpeg:	1485617048000	1485617057000	9000
stonehenge2153.jpeg:	1485617058000	1485617070000	12000
stonehenge2156.jpeg:	1485617064000	1485617077000	13000
stonehenge2173.jpeg:	1485617099000	1485617119000	20000
stonehenge2167.jpeg:	1485617088000	1485617107000	19000
stonehenge2164.jpeg:	1485617083000	1485617098000	15000
stonehenge2170.jpeg:	1485617094000	1485617113000	19000
stonehenge2162.jpeg:	1485617078000	1485617093000	15000
stonehenge2159.jpeg:	1485617070000	1485617084000	14000
stonehenge2175.jpeg:	1485617103000	1485617124000	21000
stonehenge2172.jpeg:	1485617097000	1485617117000	20000
stonehenge2154.jpeg:	1485617060000	1485617073000	13000
stonehenge2168.jpeg:	1485617090000	1485617109000	19000
stonehenge2165.jpeg:	1485617085000	1485617100000	15000
stonehenge2157.jpeg:	1485617066000	1485617081000	15000
stonehenge2161.jpeg:	1485617074000	1485617089000	15000
stonehenge2137.jpeg:	1485617116000	1485617141000	25000
stonehenge2131.jpeg:	1485617106000	1485617127000	21000
stonehenge2150.jpeg:	1485617052000	1485617064000	12000
stonehenge2134.jpeg:	1485617110000	1485617135000	25000

Mittelwert:	16
Longest:	30

