Name	UploadTime	FinishTime	Diff
stonehenge2682.jpeg:	1485619386000	1485619432000	46000
stonehenge2718.jpeg:	1485619447000	1485619516000	69000
stonehenge2604.jpeg:	1485619237000	1485619243000	6000
stonehenge2696.jpeg:	1485619408000	1485619467000	59000
stonehenge2649.jpeg:	1485619328000	1485619351000	23000
stonehenge2704.jpeg:	1485619423000	1485619485000	62000
stonehenge2665.jpeg:	1485619354000	1485619394000	40000
stonehenge2720.jpeg:	1485619453000	1485619521000	68000
stonehenge2749.jpeg:	1485619228000	1485619233000	5000
stonehenge2651.jpeg:	1485619331000	1485619356000	25000
stonehenge2735.jpeg:	1485619481000	1485619553000	72000
stonehenge2635.jpeg:	1485619303000	1485619316000	13000
stonehenge2652.jpeg:	1485619333000	1485619358000	25000
stonehenge2619.jpeg:	1485619270000	1485619278000	8000
stonehenge2697.jpeg:	1485619410000	1485619469000	59000
stonehenge2605.jpeg:	1485619239000	1485619246000	7000
stonehenge2621.jpeg:	1485619274000	1485619282000	8000
stonehenge2666.jpeg:	1485619356000	1485619396000	40000
stonehenge2721.jpeg:	1485619454000	1485619523000	69000
stonehenge2705.jpeg:	1485619425000	1485619487000	62000
stonehenge2664.jpeg:	1485619353000	1485619392000	39000
stonehenge2678.jpeg:	1485619379000	1485619422000	43000
stonehenge2733.jpeg:	1485619476000	1485619549000	73000
stonehenge2736.jpeg:	1485619482000	1485619555000	73000
stonehenge2719.jpeg:	1485619450000	1485619519000	69000
stonehenge2667.jpeg:	1485619357000	1485619398000	41000
stonehenge2717.jpeg:	1485619445000	1485619514000	69000
stonehenge2722.jpeg:	1485619456000	1485619525000	69000
stonehenge2683.jpeg:	1485619387000	1485619434000	47000
stonehenge2706.jpeg:	1485619427000	1485619489000	62000
stonehenge2637.jpeg:	1485619307000	1485619322000	15000
stonehenge2680.jpeg:	1485619383000	1485619426000	43000
stonehenge2620.jpeg:	1485619272000	1485619280000	8000
stonehenge2648.jpeg:	1485619326000	1485619348000	22000
stonehenge2703.jpeg:	1485619421000	1485619483000	62000
stonehenge2623.jpeg:	1485619279000	1485619288000	9000
stonehenge2653.jpeg:	1485619336000	1485619361000	25000
stonehenge2618.jpeg:	1485619267000	1485619276000	9000
stonehenge2634.jpeg:	1485619302000	1485619314000	12000
stonehenge2650.jpeg:	1485619329000	1485619354000	25000
stonehenge2601.jpeg:	1485619231000	1485619238000	7000
stonehenge2715.jpeg:	1485619442000	1485619511000	69000
stonehenge2607.jpeg:	1485619242000	1485619250000	8000
stonehenge2740.jpeg:	1485619490000	1485619565000	75000
stonehenge2640.jpeg:	1485619313000	1485619329000	16000
stonehenge2693.jpeg:	1485619405000	1485619459000	54000
stonehenge2646.jpeg:	1485619323000	1485619342000	19000
stonehenge2662.jpeg:	1485619350000	1485619387000	37000
stonehenge2699.jpeg:	1485619413000	1485619473000	60000
stonehenge2746.jpeg:	1485619500000	1485619579000	79000
stonehenge2655.jpeg:	1485619339000	1485619368000	29000
stonehenge2694.jpeg:	1485619406000	1485619461000	55000
stonehenge2624.jpeg:	1485619281000	1485619290000	9000
stonehenge2724.jpeg:	1485619459000	1485619530000	71000
stonehenge2677.jpeg:	1485619377000	1485619420000	43000
stonehenge2702.jpeg:	1485619418000	1485619481000	63000
stonehenge2608.jpeg:	1485619244000	1485619252000	8000
stonehenge2602.jpeg:	1485619233000	1485619239000	6000
stonehenge2747.jpeg:	1485619503000	1485619582000	79000
stonehenge2671.jpeg:	1485619367000	1485619407000	40000
stonehenge2639.jpeg:	1485619311000	1485619327000	16000
stonehenge2611.jpeg:	1485619250000	1485619261000	11000
stonehenge2636.jpeg:	1485619305000	1485619319000	14000
stonehenge2614.jpeg:	1485619255000	1485619269000	14000
stonehenge2633.jpeg:	1485619300000	1485619310000	10000
