Name	UploadTime	FinishTime	Diff
stonehenge2567.jpeg:	1485619148000	1485619155000	7000
stonehenge2564.jpeg:	1485619171000	1485619183000	12000
stonehenge2561.jpeg:	1485619165000	1485619177000	12000
stonehenge2557.jpeg:	1485619157000	1485619168000	11000
stonehenge2556.jpeg:	1485619154000	1485619166000	12000
stonehenge2559.jpeg:	1485619162000	1485619173000	11000
stonehenge2570.jpeg:	1485619152000	1485619164000	12000
stonehenge2562.jpeg:	1485619167000	1485619179000	12000
stonehenge2558.jpeg:	1485619159000	1485619170000	11000
stonehenge2569.jpeg:	1485619151000	1485619162000	11000
stonehenge2565.jpeg:	1485619172000	1485619185000	13000
stonehenge2560.jpeg:	1485619163000	1485619175000	12000
stonehenge2563.jpeg:	1485619169000	1485619181000	12000
stonehenge2568.jpeg:	1485619149000	1485619158000	9000
stonehenge2566.jpeg:	1485619174000	1485619187000	13000

Mittelwert:	11
Longest:	13

