Name	UploadTime	FinishTime	Diff
stonehenge45.jpeg:	1485561122000	1485561308000	186000
stonehenge42.jpeg:	1485561117000	1485561299000	182000
stonehenge17.jpeg:	1485561068000	1485561164000	96000
stonehenge37.jpeg:	1485561109000	1485561286000	177000
stonehenge5.jpeg:	1485561044000	1485561092000	48000
stonehenge11.jpeg:	1485561055000	1485561109000	54000
stonehenge8.jpeg:	1485561050000	1485561100000	50000
stonehenge14.jpeg:	1485561062000	1485561118000	56000
stonehenge2.jpeg:	1485561040000	1485561083000	43000
stonehenge22.jpeg:	1485561078000	1485561178000	100000
stonehenge15.jpeg:	1485561065000	1485561121000	56000
stonehenge9.jpeg:	1485561052000	1485561103000	51000
stonehenge6.jpeg:	1485561046000	1485561095000	49000
stonehenge12.jpeg:	1485561057000	1485561112000	55000
stonehenge18.jpeg:	1485561070000	1485561168000	98000
stonehenge3.jpeg:	1485561041000	1485561086000	45000
stonehenge.jpeg:	1485561038000	1485561311000	273000
stonehenge29.jpeg:	1485561092000	1485561201000	109000
stonehenge20.jpeg:	1485561074000	1485561173000	99000
stonehenge26.jpeg:	1485561087000	1485561192000	105000
stonehenge34.jpeg:	1485561103000	1485561278000	175000
stonehenge23.jpeg:	1485561080000	1485561183000	103000
stonehenge31.jpeg:	1485561097000	1485561209000	112000
stonehenge4.jpeg:	1485561042000	1485561089000	47000
stonehenge24.jpeg:	1485561082000	1485561186000	104000
stonehenge7.jpeg:	1485561047000	1485561097000	50000
stonehenge13.jpeg:	1485561059000	1485561115000	56000
stonehenge38.jpeg:	1485561111000	1485561288000	177000
stonehenge21.jpeg:	1485561076000	1485561176000	100000
stonehenge16.jpeg:	1485561066000	1485561125000	59000
stonehenge32.jpeg:	1485561098000	1485561273000	175000
stonehenge43.jpeg:	1485561119000	1485561303000	184000
stonehenge35.jpeg:	1485561104000	1485561281000	177000
stonehenge19.jpeg:	1485561072000	1485561170000	98000
stonehenge27.jpeg:	1485561088000	1485561195000	107000
stonehenge36.jpeg:	1485561107000	1485561283000	176000
stonehenge40.jpeg:	1485561114000	1485561293000	179000
stonehenge30.jpeg:	1485561095000	1485561204000	109000
stonehenge25.jpeg:	1485561084000	1485561188000	104000
stonehenge33.jpeg:	1485561101000	1485561275000	174000
stonehenge41.jpeg:	1485561116000	1485561296000	180000
stonehenge44.jpeg:	1485561120000	1485561306000	186000
stonehenge28.jpeg:	1485561090000	1485561198000	108000
stonehenge10.jpeg:	1485561054000	1485561105000	51000
stonehenge39.jpeg:	1485561112000	1485561291000	179000

Mittelwert:	113.0
Longest:	273

