Name	UploadTime	FinishTime	Diff
stonehenge401.jpeg:	1485607257000	1485607348000	91000
stonehenge446.jpeg:	1485607355000	1485607713000	358000
stonehenge407.jpeg:	1485607268000	1485607368000	100000
stonehenge454.jpeg:	1485607372000	1485607738000	366000
stonehenge471.jpeg:	1485607249000	1485607900000	651000
stonehenge438.jpeg:	1485607335000	1485607615000	280000
stonehenge415.jpeg:	1485607286000	1485607392000	106000
stonehenge423.jpeg:	1485607303000	1485607503000	200000
stonehenge468.jpeg:	1485607406000	1485607889000	483000
stonehenge455.jpeg:	1485607375000	1485607741000	366000
stonehenge470.jpeg:	1485607248000	1485607897000	649000
stonehenge462.jpeg:	1485607393000	1485607867000	474000
stonehenge402.jpeg:	1485607258000	1485607351000	93000
stonehenge410.jpeg:	1485607275000	1485607377000	102000
stonehenge463.jpeg:	1485607394000	1485607871000	477000
stonehenge408.jpeg:	1485607271000	1485607371000	100000
stonehenge432.jpeg:	1485607322000	1485607597000	275000
stonehenge440.jpeg:	1485607339000	1485607623000	284000
stonehenge416.jpeg:	1485607289000	1485607483000	194000
stonehenge424.jpeg:	1485607305000	1485607506000	201000
stonehenge469.jpeg:	1485607408000	1485607892000	484000
stonehenge464.jpeg:	1485607397000	1485607876000	479000
stonehenge450.jpeg:	1485607362000	1485607725000	363000
stonehenge475.jpeg:	1485607255000	1485607914000	659000
stonehenge467.jpeg:	1485607404000	1485607886000	482000
stonehenge434.jpeg:	1485607326000	1485607604000	278000
stonehenge437.jpeg:	1485607332000	1485607612000	280000
stonehenge431.jpeg:	1485607320000	1485607591000	271000
stonehenge442.jpeg:	1485607346000	1485607629000	283000
stonehenge426.jpeg:	1485607309000	1485607513000	204000
stonehenge429.jpeg:	1485607316000	1485607525000	209000
stonehenge459.jpeg:	1485607385000	1485607754000	369000
stonehenge456.jpeg:	1485607377000	1485607746000	369000
stonehenge472.jpeg:	1485607251000	1485607903000	652000
stonehenge445.jpeg:	1485607352000	1485607637000	285000
stonehenge448.jpeg:	1485607359000	1485607719000	360000
stonehenge453.jpeg:	1485607369000	1485607735000	366000
stonehenge461.jpeg:	1485607390000	1485607864000	474000
stonehenge404.jpeg:	1485607262000	1485607359000	97000
stonehenge443.jpeg:	1485607349000	1485607631000	282000
stonehenge418.jpeg:	1485607292000	1485607488000	196000
stonehenge460.jpeg:	1485607388000	1485607757000	369000
stonehenge457.jpeg:	1485607380000	1485607748000	368000
stonehenge449.jpeg:	1485607361000	1485607722000	361000
stonehenge412.jpeg:	1485607279000	1485607384000	105000
stonehenge465.jpeg:	1485607400000	1485607879000	479000
stonehenge420.jpeg:	1485607296000	1485607494000	198000
stonehenge413.jpeg:	1485607281000	1485607387000	106000
stonehenge452.jpeg:	1485607367000	1485607732000	365000
stonehenge458.jpeg:	1485607382000	1485607751000	369000
stonehenge419.jpeg:	1485607294000	1485607491000	197000
stonehenge427.jpeg:	1485607312000	1485607517000	205000
stonehenge451.jpeg:	1485607365000	1485607730000	365000
stonehenge405.jpeg:	1485607264000	1485607362000	98000
stonehenge435.jpeg:	1485607328000	1485607607000	279000
stonehenge474.jpeg:	1485607254000	1485607910000	656000
stonehenge421.jpeg:	1485607299000	1485607496000	197000
stonehenge466.jpeg:	1485607402000	1485607882000	480000
stonehenge425.jpeg:	1485607307000	1485607509000	202000
stonehenge439.jpeg:	1485607336000	1485607618000	282000
stonehenge414.jpeg:	1485607284000	1485607390000	106000
stonehenge422.jpeg:	1485607301000	1485607499000	198000
stonehenge430.jpeg:	1485607317000	1485607528000	211000
stonehenge447.jpeg:	1485607357000	1485607716000	359000
stonehenge433.jpeg:	1485607325000	1485607601000	276000
stonehenge417.jpeg:	1485607291000	1485607485000	194000
stonehenge436.jpeg:	1485607331000	1485607609000	278000
stonehenge441.jpeg:	1485607343000	1485607626000	283000
stonehenge444.jpeg:	1485607350000	1485607634000	284000
stonehenge428.jpeg:	1485607314000	1485607520000	206000
stonehenge473.jpeg:	1485607252000	1485607907000	655000
stonehenge409.jpeg:	1485607272000	1485607374000	102000
stonehenge406.jpeg:	1485607267000	1485607366000	99000
stonehenge411.jpeg:	1485607276000	1485607380000	104000
stonehenge403.jpeg:	1485607260000	1485607354000	94000

Mittelwert:	298.0
Longest:	659

