Name	UploadTime	FinishTime	Diff
stonehenge540.jpeg:	1485608882000	1485609114000	232000
stonehenge543.jpeg:	1485608887000	1485609124000	237000
stonehenge518.jpeg:	1485608896000	1485609006000	110000
stonehenge526.jpeg:	1485608909000	1485609036000	127000
stonehenge523.jpeg:	1485608904000	1485609027000	123000
stonehenge520.jpeg:	1485608899000	1485609015000	116000
stonehenge527.jpeg:	1485608910000	1485609039000	129000
stonehenge521.jpeg:	1485608900000	1485609019000	119000
stonehenge538.jpeg:	1485608929000	1485609109000	180000
stonehenge535.jpeg:	1485608925000	1485609100000	175000
stonehenge519.jpeg:	1485608897000	1485609009000	112000
stonehenge516.jpeg:	1485608893000	1485608999000	106000
stonehenge524.jpeg:	1485608906000	1485609030000	124000
stonehenge532.jpeg:	1485608920000	1485609092000	172000
stonehenge539.jpeg:	1485608931000	1485609111000	180000
stonehenge525.jpeg:	1485608907000	1485609033000	126000
stonehenge522.jpeg:	1485608903000	1485609023000	120000
stonehenge530.jpeg:	1485608916000	1485609049000	133000
stonehenge544.jpeg:	1485608890000	1485609127000	237000
stonehenge541.jpeg:	1485608884000	1485609118000	234000
stonehenge517.jpeg:	1485608894000	1485609003000	109000
stonehenge528.jpeg:	1485608912000	1485609042000	130000
stonehenge533.jpeg:	1485608922000	1485609095000	173000
stonehenge536.jpeg:	1485608926000	1485609103000	177000
stonehenge531.jpeg:	1485608917000	1485609089000	172000
stonehenge542.jpeg:	1485608885000	1485609120000	235000
stonehenge534.jpeg:	1485608924000	1485609098000	174000
stonehenge529.jpeg:	1485608914000	1485609046000	132000
stonehenge537.jpeg:	1485608928000	1485609105000	177000
stonehenge545.jpeg:	1485608891000	1485609132000	241000

Mittelwert:	160.0
Longest:	241

